Question,Generated Answer,Ground Truth,Faithfulness,Precision,Recall,Relevancy
How does technology contribute to economic development?,"According to the context, technology contributed to economic development by enabling specialization in commodity production, leading to an increase in world trade. The inventions of railways, steamships, and telegraphs were important technological advances that facilitated faster and cheaper transportation of goods, which stimulated new investments and improvements in transport. This, in turn, helped move food more cheaply and quickly from faraway farms to final markets, contributing to economic development.","Technology contributes to economic development by enabling specialization in the production of commodities, as seen in the 19th-century world where trade multiplied significantly. Railways, steamships, and the telegraph facilitated the movement of goods, especially primary products, more cheaply and quickly. Colonization stimulated new investments and improvements in transport technologies, further enhancing trade. Also, number of economic activities has increased due to technology as societies progressed.",1,1,1,1
What are the different types of employment in India?,"Based on the context, the different types of employment in India mentioned are:

1. Factory workers: These were employed in textile mills and other industries.
2. Artisans: They worked in their traditional occupations such as weaving cloth, pottery, etc.
3. Peasants: They worked in agriculture and related activities.
4. Jobbers: They acted as intermediaries between the factories and the workers, getting new recruits and ensuring they got jobs.

These are the types of employment mentioned in the context provided.","Based on the provided context, the types of employment in India include:

*   **Factory workers:** Peasants and artisans migrating from villages to work in factories (e.g., cotton mills). The number of factory workers increased from 584,000 in 1901 to over 2,436,000 by 1946.

*   **Jobbers:** Individuals who recruited workers for factories, often from their own villages. They helped workers settle in the city and sometimes provided financial assistance.

The text mentions other economic activities such as agriculture, livestock rearing, production of tools, pottery and weaving cloth. But they are not clearly an employment type like the first two.",0.9,0.9,1,1
How does India’s economic diversity reflect its social structure?,"According to the given context, ""unity in diversity"" refers to India's ability to unite its diverse aspects and populations under one umbrella. It means that despite having many differences, India can maintain a sense of unity and oneness among its people, cultures, and traditions. This concept is described as ""Many in the One"", emphasizing the coexistence and harmony between diversity and unity.","India’s economic diversity mirrors its social structure by integrating various occupations and industries, reflecting the ""unity in diversity"" concept, where different communities contribute while maintaining national cohesion.",0.9,0.9,0.4,0.3
What measures can be taken to ensure sustainable economic development?,"Based on the provided context, measures to ensure sustainable economic development can be taken by:

* Increasing the number of diverse economic activities, such as manufacturing, services, and other sectors
* Classifying these activities into economic sectors to understand their functions and links with each other

These measures are implied in the text's discussion of the growth of economic activities over time and the importance of classification.","Sustainable economic development can be ensured by:

  * Expanding diverse economic activities like manufacturing and services.

  * Classifying these activities into sectors to understand their functions and connections.

These measures align with the text’s discussion on economic growth and classification.",1,0.9,1,1
What are the main components of a map?,"According to the context, the three main components of a map are:

1. Distance
2. Direction
3. Symbols","Based on the provided context, the three important components of maps are:

*   Distance
*   Direction
*   Symbols",1,1,1,1
How do latitude and longitude help in locating places?,"Latitude and longitude help in locating places by providing a system of coordinates. Latitude measures distance from the Equator, increasing as you travel towards one of the poles. Longitude measures distance from the Prime Meridian, increasing as you travel eastward or westward along the Equator. Together, latitude and longitude allow for precise location of any place on Earth, using statements like ""Delhi lies at 29°N latitude and 77°E longitude"".","Latitude measures the distance from the Equator, while longitude measures the distance from the Prime Meridian. Together, latitude and longitude are the two coordinates of a place, enabling you to locate any place on Earth.",1,1,1,1
What is the significance of the Prime Meridian?,"According to the context, the significance of the Prime Meridian is that it serves as a reference point for measuring longitude and dividing the Earth into Western and Eastern Hemispheres. It is also marked as 0° longitude.","The Prime Meridian is a reference point used to measure longitudes. It is marked as 0° longitude and passes through Greenwich, England. In 1884, some nations decided it would become the international standard for the Prime Meridian.",1,1,0.75,1
Why is the Equator called 0° latitude?,"According to the context, the Equator is called 0° latitude because it is a convention to express latitudes in degrees, and by definition, the Equator is considered the starting point or reference point for measuring distance from one of the poles.",The Equator is called 0° latitude because latitude measures distance from the Equator.,1,0.8,1,1
What are cardinal and intermediate directions?,"According to the context, cardinal directions are north, east, south, and west. These are also referred to as cardinal points.

Intermediate directions include northeast (NE), southeast (SE), southwest (SW), and northwest (NW).","According to the provided text:

*   **Cardinal directions** are north, east, south, and west.
*   **Intermediate directions** are northeast (NE), southeast (SE), southwest (SW), and northwest (NW).",1,1,1,1
How does a globe differ from a map?,"According to the context, a globe differs from a map in that it is a physical sphere on which a map is drawn, whereas a map is a flat representation of the Earth's surface. The context states: ""Consider a globe, which is a sphere on which a map is drawn... The physical object, like the one shown in the drawing on the next page, is a sphere that is generally made of metal, plastic or cardboard.""","A globe is a sphere on which a map is drawn, while a map is flat. Representing a sphere accurately on a flat sheet of paper is not possible. On a map, you look at the surface as if viewing it from the top.",1,1,1,1
Why do we need different types of maps?,"According to the context, we need different types of maps because they show specific kinds of information. There are physical maps, which mainly show natural features like mountains, oceans, and rivers; political maps, which show details of countries or states, boundaries, cities, etc.; and thematic maps, with a specific kind of information.","We need different types of maps (physical, political, and thematic) because each type shows different information about the world. Physical maps show natural features, political maps show boundaries and cities, and thematic maps show specific kinds of information.",1,1,1,1
How is the scale of a map determined?,"According to the context, the scale of a map is determined by comparing the distance on the map with the actual distance on the ground. For example, in Fig. 1.1, each centimeter on the map represents a certain distance on the ground (500 meters). Similarly, in Fig. 5.2, the scale is represented as ""1 cm = 500 km"", which means that 2.5 cm on the printed map corresponds to 500 kilometers on the ground.","The scale of a map is determined by the relationship between a distance on the map and the corresponding distance on the ground. For example, ""1 cm = 500 m"" means each centimetre on the map represents 500 metres on the ground.",1,1,1,1
What is the significance of the Greenwich Meridian?,"According to the context, the significance of the Greenwich Meridian is that it was chosen as the international standard for measuring longitude in 1884. It is marked as 0° longitude and serves as a reference point for measuring time zones around the world.","The Greenwich Meridian is significant because, in 1884, it was decided by some nations to be the international standard for the Prime Meridian, marked as 0° longitude.",1,1,1,1
"Why is the Earth called the ""blue planet""?","According to the context, the Earth is called the ""blue planet"" because most of its surface (almost three-fourths) is covered with water, which appears blue when seen from outer space.","The Earth is called the ""blue planet"" because most of its surface is covered with water (almost three-fourths), which makes it appear mostly blue when seen from outer space.",1,1,1,1
What are the five major oceans of the world?,"Based on the context provided, the five major oceans of the world are:

1. Pacific Ocean
2. Atlantic Ocean
3. Indian Ocean
4. Southern (or Antarctic) Ocean
5. Arctic Ocean","The five major oceans of the world are the Pacific Ocean, the Atlantic Ocean, the Indian Ocean, the Arctic Ocean, and the Southern (or Antarctic) Ocean.",1,1,1,1
How does ocean water differ from freshwater?,"According to the provided context, ocean water differs from freshwater in being salty and unfit for consumption by most land animals, including humans.","Ocean water is salty and unfit for consumption by most land animals, including humans, while freshwater makes up a very small proportion of the planet’s water resources.",1,1,1,1
Why are oceans important for climate regulation?,"According to the context, oceans are important for climate regulation because they produce more than half of the world's oxygen, which is crucial for sustaining life on Earth. Additionally, the oceans play a role in regulating the climate, but this information is not elaborated upon in the provided context.","Oceans are important for climate regulation because they produce more than half of the world’s oxygen and if there were no oceans, there would be no rainfall and the Earth would be a desert.",1,1,1,1
What is the largest ocean on Earth?,"Based on the provided context, the largest ocean is the Pacific Ocean.",The Pacific Ocean is the largest ocean on Earth.,1,1,1,1
What is the smallest ocean on Earth?,"According to the context, the smallest ocean on Earth is the Arctic Ocean.",The Arctic Ocean is the smallest ocean.,1,1,1,1
How does ocean life contribute to Earth’s ecosystem?,"According to the context, ocean life contributes to Earth's ecosystem by producing more than half of the world's oxygen through its flora, making it ""the planet's lungs"". This plays a crucial role in regulating the climate and sustaining life on Earth.","According to the text, ocean life, specifically the oceans' flora, produces more than half of the world's oxygen. This makes the oceans crucial for regulating the climate and sustaining life on Earth.",1,1,1,1
What is the significance of the Indian Ocean to India?,"According to the context, the significance of the Indian Ocean to India is that it plays a crucial role in regulating the climate and sustaining life on Earth. The monsoon rains that India expects every summer originate from the ocean, making it essential for the country's rainfall. Additionally, the Indian Ocean also brings nourishment to India through fishing and trade.","According to the provided text, the Indian Ocean is significant to India because the monsoon rains that India expects every summer originate in the ocean. Also, on either side of India are two parts of the Indian Ocean - the Arabian Sea to the west and the Bay of Bengal to the east.",0.8,0.7,0.6,0.8
How do oceans impact human civilization and trade?,"According to the context, oceans have deeply impacted human civilization and trade in many ways. People have used oceans to:

* Migrate to other regions
* Trade goods
* Conduct military campaigns
* Obtain food through fishing
* Nourish cultures of coastal people around the world

Additionally, oceans play a crucial role in regulating the climate and sustaining life on Earth by producing oxygen.","Oceans have deeply impacted humanity by enabling people to migrate to other regions, trade goods, conduct military campaigns, and obtain food through fishing. They have also nourished the cultures of coastal people.",1,1,1,1
What are some major natural disasters originating in oceans?,"According to the given context, some major natural disasters originating in oceans are:

* Cyclones: violent events with extreme rainfall or strong winds that can cause widespread damage to coastal regions.
* Tsunamis: huge and powerful waves caused by a strong earthquake or volcanic eruption at the bottom of the ocean, which can travel thousands of kilometers and submerge coastal areas, causing damage.",Cyclones and tsunamis are major natural disasters originating in oceans.,1,1,1,1
"How many continents are there, and why can their count vary?","According to the context, there are multiple ways to count continents, and the number can vary between 4 and 7. The most widely adopted count is 7 continents: Africa, Antarctica, Asia, Australia, Europe, North America, and South America. However, it's noted that some geologists consider Asia and Europe as a single continent called ""Eurasia"", which would reduce the count to 5 continents.","Based on the provided context:

There can be between four and seven continents. The count varies because:

*   North and South America can be considered either two continents or one.
*   Europe and Asia can be considered either two continents or one (Eurasia).
*   Africa and Eurasia are generally regarded as two continents, but sometimes as one.",1,1,1,1
"What is the largest continent, and what is the smallest?","Based on the provided context, the largest continent is Eurasia (Asia and Europe combined), and the smallest is Antarctica.","According to the activity in the provided context (""Counting the numbers of squares, name the largest continent and the smallest""), you are supposed to count squares on a diagram (likely Fig. 2.3 on page 32, as referenced in the text) to determine the largest and smallest continents.

Since I don't have access to the diagram, I can't count the squares myself.",0.5,0.6,0.2,1
How is Europe different from Asia in terms of classification?,"According to the context, Europe is different from Asia in terms of classification because ""Europe's evolution has been very different from Asia's"" and geologists often regard them as a single continent called 'Eurasia'.","According to the provided text, Europe and Asia are considered different continents primarily for historical and cultural reasons, despite forming a single landmass (Eurasia). Geologists often regard them as one continent.",1,1,1,1
Why is Antarctica considered an extreme environment?,"Based on the context, Antarctica is considered an extreme environment because it has a very cold climate and harsh living conditions.",Antarctica is considered an extreme environment because it has a very cold climate and harsh environment. The provided context describes it as a white expanse mostly covered in ice.,1,1,1,1
What are islands?,"Based on the provided context, islands are defined as smaller pieces of land surrounded by water on all sides. They are different from continents, which are also surrounded by water but are much larger.",Islands are smaller pieces of land surrounded by water on all sides.,1,1,1,1
What are the major island groups of India?,"According to the context, the major island groups of India are:

1. Andaman and Nicobar Islands in the Bay of Bengal
2. Lakshadweep Islands in the Arabian Sea

These two groups account for more than 1,300 small islands in total.","According to the provided context, the two major island groups of India are:

*   Andaman and Nicobar Islands in the Bay of Bengal
*   Lakshadweep Islands in the Arabian Sea",1,1,1,1
How does ocean pollution affect marine life?,"According to the context, ocean pollution affects marine life by ""choking"" them due to plastic waste and other forms of pollution. This is stated as: ""Scientific studies have shown how the oceans are polluted by human activity — we throw several million tonnes of plastic waste into the oceans every year, choking marine life.""","Ocean pollution, caused by human activities like dumping millions of tonnes of plastic waste, threatens the marine environment and chokes marine life.",1,1,1,1
What is the role of the Indian Navy in maritime security?,"Based on the given context, the role of the Indian Navy in maritime security is not mentioned. The context only provides reports related to a mutiny in the Royal Indian Navy and does not provide any information about the Indian Navy's role in maritime security.","The provided context includes a report about the Royal Indian Navy mutiny in 1946 and a historical perspective on timber resources for shipbuilding in Java.
From my general knowledge, the Indian Navy plays a crucial role in maritime security by protecting India's maritime borders, trade routes, and economic interests, as well as engaging in humanitarian assistance and disaster relief operations.",1,0,0,1
What measures can be taken to protect oceans from pollution?,"Based on the given context, measures to protect oceans from pollution include:

* Reducing plastic waste and not throwing millions of tonnes of plastic into the oceans every year.
* Addressing other forms of pollution that threaten marine life.
* Preventing overfishing (excessive fishing) to help maintain marine ecosystems.

These actions are crucial for protecting the oceans' role in regulating the climate, sustaining life on Earth, and preserving marine biodiversity.","Based on the context, measures that can be taken to protect oceans from pollution include reducing the amount of plastic waste that is thrown into the oceans and addressing overfishing. It is our collective responsibility to protect the oceans.",1,1,1,1
How does ocean exploration help in scientific discoveries?,"According to the context, ocean exploration helps in scientific discoveries by:

* Providing insights into the Earth's water cycle and climate regulation
* Enabling research on the evolution of climate and environment
* Offering opportunities for studying the impact of oceans on human life and culture
* Facilitating understanding of the role of oceans as a source of food, medicine, and oxygen production

The context does not specifically mention how ocean exploration leads to scientific discoveries in terms of discovering new species, ecosystems, or geological formations. However, it highlights the importance of oceans in sustaining life on Earth and the need for protecting them from pollution and overfishing.","The provided context discusses the importance of oceans in general and mentions scientific research in Antarctica, but it **does not** explicitly detail how ocean exploration specifically helps in scientific discoveries.",1,1,0,1
"What is a landform, and how do they shape the environment?","Based on the context, a landform is a physical feature on the surface of Earth. According to the text, landforms can be broadly divided into three categories: mountains, plateaus, and plains.

These landforms shape the environment by having different climates and being home to various flora and fauna. They also have a significant connection with human life and culture, as people have adapted to living on different types of landforms throughout history.","According to the provided text, a landform is a physical feature on the surface of Earth. Landforms shape the environment by having different climates and being home to a variety of flora and fauna. The text also mentions that humans have adapted to all landforms, and these landforms are an integral part of culture across the world.",1,1,1,1
What are the three major types of landforms mentioned in the text?,"According to the text, the three major types of landforms are:

1. Mountains
2. Plateaus
3. Plains","Mountains, plateaus, and plains.",1,1,1,1
How do landforms influence human life and culture?,"According to the context, landforms influence human life and culture in the following ways:

* Throughout history, people's lives and activities have been impacted by the type of landform they have lived in.
* Each landform offers different challenges as well as opportunities.
* Landforms are an integral part of culture across the world, with Indian culture celebrating them in diverse ways.

In summary, landforms shape human life and culture by presenting various environmental conditions that humans must adapt to, offering both challenges and opportunities.","Landforms, classified as mountains, plateaus, and plains, significantly impact human life and culture by presenting different challenges and opportunities. These landforms are integral to culture and illustrate the deep connection between humanity and the natural environment. People's lives and activities throughout history have been greatly influenced by the type of landform they inhabit.",1,1,1,1
How did the Dhangars of Maharashtra earn their livelihood?,"According to the provided context, the Dhangars of Maharashtra earned their livelihood through:

* Shepherding: They were shepherds who stayed in the central plateau of Maharashtra during the monsoon and harvested their bajra (dry crops) by October.
* Buffalo herding: Some Dhangars were buffalo herders.
* Blanket weaving: Others were blanket weavers.","The Dhangars of Maharashtra earned their livelihood primarily as shepherds, blanket weavers, and buffalo herders. During the monsoon, they grazed their flocks on the central plateau. They harvested bajra and then migrated to the Konkan region.",1,1,1,1
How do landforms change over millions of years?,"According to the context, landforms change over millions of years. This is stated in the sentence: ""A landform is a physical feature on the surface of our planet Earth. Landforms take shape over millions of years...""",Landforms take shape over millions of years.,1,1,1,1
What are the characteristics of a mountain?,"According to the context, the characteristics of a mountain are:

* Much higher than the surrounding landscape
* Broad base
* Steep slopes
* Narrow summit

These features can be recognized in mountains, including those with snow-covered peaks that melt every summer.","Mountains are landforms that are much higher than the surrounding landscape. They can be recognised by a broad base, steep slopes and a narrow summit. Depending on their height, some mountains are covered with snow. Mountain slopes are often covered with montane forest, where conifer trees such as pines, firs, spruce and deodar are common.",1,1,0.8,1
How do high-altitude mountains differ from lower-altitude hills?,"According to the context, high-altitude mountains differ from lower-altitude hills in terms of their age and shape. High-altitude mountains like the Himalayas are ""relatively 'young'"", meaning they were formed recently in Earth's history (but still millions of years ago), whereas shorter and more rounded hills like the Aravalli Range are much older and have been rounded by erosion.","High-altitude mountains, like the Himalayas, have tall and sharp peaks and are relatively young. Lower-altitude hills, like the Aravalli Range, are shorter, more rounded, and much older.",1,1,1,1
What are some of the major mountain ranges mentioned in the book?,"According to the context, some of the major mountain ranges mentioned are:

* Himalayan range (stretching between Tibet and Nepal)
* Andes (in South America) - with Mount Aconcagua being the highest peak
* Alps (in Western Europe) - with Mont Blanc being the highest mountain
* Tibetan mountains
* Ural mountains

Note: These answers are based solely on the provided context and do not include any information from outside sources or personal memory.","The major mountain ranges mentioned in the book are:

*   Himalayas
*   Alps
*   Andes
*   Ural
*   Rocky
*   Atlas",0.8,0.8,0.66,1
How do the Himalayas continue to grow in height?,"According to the context, the Himalayas continue to grow in height due to upliftment as well as erosion.",The Himalayas continue to grow in height due to upliftment.,1,1,1,1
What type of vegetation is found in montane forests?,"According to the context, in montane forests, grasses, mosses, and lichen are found at higher altitudes.","Conifer trees such as pines, firs, spruce, and deodar are found in montane forests. At higher altitudes, grasses, mosses, and lichen are found.",1,1,1,1
How do mountains influence climate and precipitation?,"According to the context, mountains influence climate and precipitation by:

* At high altitudes, snow may never melt, leaving the mountain permanently snow-capped.
* In cold conditions, snow falls at higher altitudes, covering the landscape in a white blanket.

These factors contribute to the formation of snow and hailstones, which are forms of precipitation.","Mountains influence climate and precipitation by being covered with snow at high altitudes. At lower altitudes, the snow melts and turns into water that feeds rivers. At higher altitudes, the snow may never melt, leaving the mountain permanently snow-capped. At higher altitudes, if it is cold enough, snow will fall, covering the landscape.",1,1,0.5,1
Why are mountain regions less populated compared to plains?,"According to the context, mountain regions are less populated compared to plains because they have steep slopes and a narrow summit, making it difficult for people to settle and live there. Additionally, many mountainous regions rely on herding as their primary occupation rather than agriculture, which may also contribute to fewer people living in these areas.","Mountain regions have fewer inhabitants than plains due to steep slopes and narrow summits, making settlement difficult. Additionally, reliance on herding over agriculture further limits population growth in these areas.",1,1,1,1
What are some economic activities carried out in mountain regions?,"According to the context, some economic activities carried out in mountain regions include:

* Terrance farming (cultivating grains and vegetables)
* Herding (raising livestock)
* Tourism (attracting tourists for sports like skiing, hiking, mountaineering, and paragliding)
* Forestry (collecting wood from forests)

These activities are classified as primary sector economic activities.","Based on the provided text, some economic activities carried out in mountain regions are:

*   Herding
*   Tourism (including sports like skiing, hiking, mountaineering, and paragliding)
*   Agriculture, including terrace farming
*   Forestry",1,1,1,1
How does terrace farming help in mountain agriculture?,"According to the context, terrace farming helps in mountain agriculture by allowing cultivation on steep slopes. By cutting steps into the slope, farmers can create level areas for growing crops, making the process of growing crops easier and more feasible.",Terrace farming helps in mountain agriculture because it allows cultivation to be practiced on the steep slopes by cutting steps into the slope.,1,1,1,1
What are some challenges faced by people living in mountains?,"According to the context, some challenges faced by people living in mountains include:

* Uncontrolled tourism, which can put pressure on the fragile mountain environment
* Landslides and avalanches due to heavy snowfall or cloudbursts
* Flash floods caused by sudden and violent rainstorms
* Cold weather
* Heavy snowfall","Based on the provided context, some challenges faced by people living in mountains include:

*   Potential natural disasters like avalanches, landslides, flash floods, and cloudbursts.
*   Cold weather.
*   The potential for uncontrolled tourism to put pressure on the fragile mountain environment.",1,1,1,1
What is the significance of Mount Everest and Kanchenjunga?,"According to the context, Mount Everest and Kanchenjunga are significant because they are the two highest peaks of the Himalayan range.","Based on the provided context:

*   **Mount Everest:** It is the highest mountain in the world, located between Tibet (China) and Nepal. Tibetans call it ‘Chomolungma’ (Mother Goddess of the World) and Nepalis call it ‘Sagarmatha’ (Goddess of the Sky). It is part of the Himalayan range.

*   **Kanchenjunga:** It is one of the two highest peaks of the Himalayan range, located between Nepal and the Indian state of Sikkim.",1,1,1,1
Why is Mount Kilimanjaro unique among mountains?,"According to the context, Mount Kilimanjaro is unique among mountains because it is an isolated mountain that is not part of any range.",Mount Kilimanjaro is unique because it is an isolated mountain that is not part of any range.,1,1,1,1
How did Bachendri Pal and Arunima Sinha contribute to mountaineering?,"Based on the context provided, Bachendri Pal and Arunima Sinha contributed to mountaineering by:

* Bachendri Pal: Led many women's climbing expeditions, was the first Indian woman to climb Mount Everest in 1984, and was awarded Padma Shri (in 1984) and Padma Bhushan (in 2019).
* Arunima Sinha: With Bachendri Pal's encouragement and training, she managed to climb Mount Everest in 2013, despite losing a leg in an accident at the age of 31. She went on to climb the highest peak of every continent, including Mount Vinson in Antarctica, and was awarded Padma Shri in 2015.","Bachendri Pal contributed to mountaineering by being the first Indian woman to climb Mount Everest in 1984 and leading many women’s climbing expeditions. Arunima Sinha, with Bachendri Pal's encouragement and training, climbed Mount Everest in 2013, despite losing a leg, and went on to climb the highest peak of every continent.",1,1,1,1
"What do the names ""Chomolungma"" and ""Sagarmatha"" signify?","Based on the provided context, ""Chomolungma"" and ""Sagarmatha"" are names for Mount Everest.",They are the names for Mount Everest.,1,0,0,1
What is the cultural significance of Mount Kailash?,"According to the given context, Mount Kailash in Tibet is held sacred by followers of Hinduism, Buddhism, Jainism and Bon (an ancient Tibetan religion).","Mount Kailash in Tibet is held sacred by followers of Hinduism, Buddhism, Jainism, and Bon (an ancient Tibetan religion).",1,1,1,1
"What defines a plateau, and how is it different from mountains?","According to the context, a plateau is defined as a landform that rises up from the surrounding land and has a more or less flat surface, with some of its sides often being steep slopes. This definition distinguishes plateaus from mountains, which are typically characterized by peaks and valleys.

Note: The context does not provide specific details on what defines a mountain, so we cannot compare the two based on exact criteria.","According to the text, a plateau is a landform that rises up from the surrounding land and has a more or less flat surface; some of its sides are often steep slopes.
The text does not explicitly define how plateaus are different from mountains but does mentions plateaus often have steep slopes like mountains.",1,0.9,0.9,1
"Why is the Tibetan Plateau called the ""Roof of the World""?","According to the context, the Tibetan Plateau is called the ""Roof of the World"" because it has an average altitude of 4,500 meters.","The Tibetan Plateau is nicknamed the ""Roof of the World"" because it has an average altitude of 4,500 m.",1,1,1,1
What is the significance of sheep shearing?,"The significance of sheep shearing is that it marks a seasonal change and adjustment for pastoral communities in the Himalayas, such as the Bhotiyas, Sherpas, and Kinnauris. The process involves bathing and cleaning the sheep before their wool is cut, likely indicating a time of preparation for the coming winter or a shift to new pastures.","The significance of sheep shearing for communities like the Gaddis is that it provides wool, which is used in cloth production. The Gaddi shepherds halt on their way down from the high meadows to have their sheep sheared after bathing and cleaning them.",0.9,0.9,0.7,0.9
"Why are plateaus considered ""storehouses of minerals""?","According to the context, plateaus are considered ""storehouses of minerals"" because they are rich in mineral deposits.","Plateaus are considered ""storehouses of minerals"" because, like mountains, they are rich in mineral deposits.",1,1,1,1
How do waterfalls form on plateaus?,"According to the context, waterfalls can form on plateaus when a river flows over the edge of a plateau, as seen in examples such as the Hundru Falls on the Subarnarekha River in the Chhota Nagpur Plateau and the Jog Falls on the Sharavati River in the Western Ghats.","The provided context does not explain the process of waterfall formation on plateaus, but it states that plateaus are home to many spectacular waterfalls, such as the Victoria Falls, Hundru Falls, Jog Falls and Nohkalikai Falls.",1,1,0,1
"What are floodplains, and why are they important for agriculture?","Floodplains are a type of plains formed by rivers originating in mountain ranges, where they collect and deposit sediments, making the soil very fertile. These floodplains are ideal for growing crops of all kinds, and agriculture is a major economic occupation in this landform.","Floodplains are plains formed by rivers originating in mountain ranges. The rivers collect sediments and deposit them in the plains, making the soil very fertile and ideal for growing crops of all kinds, making agriculture a major economic occupation in this landform.",1,1,1,1
How do rivers shape the fertility of plains?,"According to the context, rivers shape the fertility of plains by depositing sediments, such as rock, sand, and silt, which make the soil very fertile. This process occurs when rivers originating in mountain ranges carry these particles all the way to the plains, where they are deposited, making the soil suitable for growing a variety of crops.","Rivers shape the fertility of plains by collecting sediments (particles of rock, sand, and silt) from mountain ranges and depositing them on the plains. These sediments make the soil very fertile, which is ideal for growing crops.",1,1,1,1
Why are the Ganga plains densely populated?,"According to the context, the Ganga plains are densely populated because about 40 crore people (more than one-fourth of India's total population) live in this region.","The Ganga plains are densely populated because the fertile soil, deposited by the rivers, is ideal for growing crops, making agriculture a major economic occupation.",1,0.7,0.3,1
What challenges do river plains face in modern times?,"According to the context, river plains in modern times face challenges such as:

* High population
* Pollution
* Depletion of groundwater due to irrigation, which presents a challenge for the future of agriculture in the region.","Based on the provided context, river plains face the following challenges in modern times:

*   Depletion of groundwater due to irrigation.
*   High population.
*   Pollution.",1,1,1,1
How have ancient Indian traditions classified landforms through Tiṇai?,"According to ancient Indian traditions, landforms have been classified into five tiṇais: Kuriñji (mountainous regions), Mullai (grassland and forests), Marudam (fertile agricultural plains), Neydal (coastal regions), and Pālai (arid, desert-like regions).","Ancient Indian traditions, specifically through the Tiṇai system of Sangam poetry, classified landforms into five types: mountainous regions (Kuriñji), grassland and forests (Mullai), fertile agricultural plains (Marudam), coastal regions (Neydal), and arid, desert-like regions (Pālai).",1,1,1,1
How do we measure historical time?,"According to the context, time is measured in history through various methods, including:

* Major events, such as the birth of an important person or the start of a ruler's reign, which mark the beginning of a new era.
* The use of tools, pots, beads, figurines, toys, bones and teeth of animals and humans, burnt grains, parts of houses or bricks, among others, left behind by past societies.

The context does not provide information on specific methods of measuring time in history.","Time in history is measured by studying remains people, plants and animals left behind, such as tools, pots, beads, figurines, toys, bones and teeth of animals and humans, burnt grains, parts of houses or bricks, among others. Also, major events, such as the birth of an important person or the start of a ruler’s reign, have often marked the beginning of a new era.",1,1,1,1
What is the importance of understanding the past?,"According to the context, understanding the past is important because it is the key to understanding the present. As E.H. Carr states, ""History is an unending dialogue between the present and the past... We can fully understand the present only in the light of the past.""","According to the provided text, understanding the past is important because ""it is the key to understanding the present.""",1,1,1,1
What is the role of a timeline in history?,"According to the context, a timeline plays several roles in history:

1. It helps mark events and shows their sequence over a particular period.
2. It enables understanding of the order in which historical events take place.
3. It provides a convenient tool for marking dates and events.

The context also mentions that historians use timelines to associate history with specific dates, as it was once an account of battles and big events, focusing on rulers' policies and events like coronations, marriages, births, wars, and deaths.","According to the provided text, a timeline in history serves two main roles:

1.  **Marking Events:** It is a tool to mark events by showing a sequence of dates and events covering a particular period.
2.  **Understanding Order:** It helps in understanding the order in which historical events take place.",0.8,0.6,1,0.9
What are some important stages in the evolution of life on Earth?,"According to the given context, some important stages in the evolution of life on Earth are:

* Billion years ago: No specific stage mentioned
* Million years ago: No specific stage mentioned
* Years ago: No specific stage mentioned

The figure (Fig. 4.1) shows a timeline with some events marked, but it does not provide specific information about these stages.

Note: The context does not provide detailed information on important stages in the evolution of life on Earth.","Based on the provided context, some important stages in the evolution of life on Earth are marked by the timeline in Fig. 4.1, which includes events occurring at:

*   4.54 Billion years ago
*   2.33 Billion years ago
*   700 Million years ago
*   500 Million years ago
*   300 Million years ago
*   100 Million years ago",1,1,1,1
Why is the Gregorian calendar widely used today?,"According to the context, the Gregorian calendar is widely used today because it was introduced as the international calendar. The context states: ""Gregorian calendar: The calendar now used internationally."" This suggests that the Gregorian calendar has become the standard calendar used globally.","The provided context states that the Gregorian calendar is ""the calendar now used internationally."" The context does not explicitly explain *why* it is widely used.",1,1,1,0.7
What are the different sources of history mentioned in the text?,"According to the context, the different sources of history mentioned are:

1. Ancient inscriptions (studied by epigraphists)
2. Human societies and cultures (studied by anthropologists)
3. Literature and languages (studied by experts in these fields)
4. Scientific studies, including:
	* Studies of ancient climates
	* Chemical studies of excavated materials
	* Studies of the genetics of ancient people
5. Newspapers (for studying recent history, typically the last two or three centuries)
6. Electronic media (television, internet, etc.) (for studying recent history)

These sources help historians reconstruct the past and understand historical events.","Based on the text, the sources of history include:

*   Ancient inscriptions
*   Literature and languages
*   Ancient monuments
*   Items of trade
*   Newspapers (for recent history)
*   Electronic media (television, the internet, etc. for recent decades)
*   Scientific studies (studies of ancient climates, chemical studies of excavated materials, and studies of the genetics of ancient people)
*   Objects from the past (such as statues, coins and ornaments) preserved in museums.",0.9,0.9,0.75,1
How do fossils help us understand history?,"Fossils help us understand history by providing remains of plants, animals, and humans from millions of years ago. Palaeontologists study these fossils to learn about the past.","Palaeontologists study fossils, which are the remains of plants, animals, and humans from millions of years ago. By studying these fossils, we can learn about life forms that existed in the past.",1,1,1,1
What role do geologists play in studying history?,"According to the context, geologists play a role in studying history by uncovering secrets left beneath the Earth's surface and helping us learn about its past. They study the physical features of the Earth, such as soil, stones, hills, mountains, rivers, seas, oceans, and other parts of the Earth. This information can be used to reconstruct the past and provide insights into historical events.","Geologists study the physical features of the Earth, like the soil, stones, hills, mountains, rivers, seas, and oceans. This helps us learn about the Earth's past and also our past.",1,1,1,1
